c,p,o,oLabel
http://www.wikidata.org/entity/Q122599778,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q82551938,fictional apartment
http://www.wikidata.org/entity/Q122599800,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q63959562,fictional police station
http://www.wikidata.org/entity/Q122599834,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q108117266,fictional facility
http://www.wikidata.org/entity/Q122599908,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q100706037,fictional dimension
http://www.wikidata.org/entity/Q122599966,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q108117266,fictional facility
http://www.wikidata.org/entity/Q122600253,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q2775969,fictional planet
http://www.wikidata.org/entity/Q122600591,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q100256453,fictional cinema
http://www.wikidata.org/entity/Q122600705,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3895768,fictional location
http://www.wikidata.org/entity/Q122600870,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3895768,fictional location
http://www.wikidata.org/entity/Q122601016,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q60875352,fictional residence
http://www.wikidata.org/entity/Q122601113,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q61508291,fictional academy
http://www.wikidata.org/entity/Q122601246,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q108117266,fictional facility
http://www.wikidata.org/entity/Q122601576,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3895768,fictional location
http://www.wikidata.org/entity/Q122601779,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3895768,fictional location
http://www.wikidata.org/entity/Q122602172,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q60875460,fictional diner
http://www.wikidata.org/entity/Q122602385,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q108117266,fictional facility
http://www.wikidata.org/entity/Q122602494,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q82551938,fictional apartment
http://www.wikidata.org/entity/Q122602524,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q21597574,fictional hotel
http://www.wikidata.org/entity/Q122602546,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q100706037,fictional dimension
http://www.wikidata.org/entity/Q122602568,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q111535061,fictional store
http://www.wikidata.org/entity/Q122602589,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q16363493,fictional forest
http://www.wikidata.org/entity/Q122602617,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q82551938,fictional apartment
http://www.wikidata.org/entity/Q122602641,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q1964689,fictional city
http://www.wikidata.org/entity/Q122602670,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q65153307,fictional high or secondary school
http://www.wikidata.org/entity/Q122602691,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q18572946,fictional space station
http://www.wikidata.org/entity/Q122602738,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q60875215,fictional café
http://www.wikidata.org/entity/Q122602752,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q108117266,fictional facility
http://www.wikidata.org/entity/Q122602810,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q108117266,fictional facility
http://www.wikidata.org/entity/Q122617170,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q2775969,fictional planet
http://www.wikidata.org/entity/Q122617201,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q60466874,fictional museum
http://www.wikidata.org/entity/Q122617228,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3895768,fictional location
http://www.wikidata.org/entity/Q122617265,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q108117266,fictional facility
http://www.wikidata.org/entity/Q122617298,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3895768,fictional location
http://www.wikidata.org/entity/Q122617321,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3895768,fictional location
http://www.wikidata.org/entity/Q122617368,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q111535061,fictional store
http://www.wikidata.org/entity/Q122617392,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3895768,fictional location
http://www.wikidata.org/entity/Q122617425,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q111535061,fictional store
http://www.wikidata.org/entity/Q122617450,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q20751022,fictional house
http://www.wikidata.org/entity/Q122617484,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q58207797,fictional gate
http://www.wikidata.org/entity/Q122617506,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q18058299,fictional castle
http://www.wikidata.org/entity/Q122617533,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3895768,fictional location
