name,wiki,file
Melvin Potter,Melvin Potter,melvin-potter.webp
Anne Marie Hoag,Anne Marie Hoag,anne-marie-hoag.webp
Galactus,Galactus,galactus.webp
Garthan Saal,Garthan Saal,garthan-saal.webp
James Montgomery Falsworth,James Montgomery Falsworth,james-montgomery-falsworth.webp
Peachy,Peachy,peachy.webp
Ian Boothby,Ian Boothby,ian-boothby.webp
Aleta Ogord,Aleta Ogord,aleta-ogord.webp
Extremis Soldiers,Extremis Soldiers,extremis-soldiers.webp
Sprite,Sprite,sprite.webp
Uzman,Uzman,uzman.webp
Brahl,Brahl,brahl.webp
Charlie-27,Charlie-27,charlie-27.webp
World Security Council,World Security Council,world-security-council.webp
Ayesha,Ayesha,ayesha.webp
Hydra Buyer,Hydra Buyer,hydra-buyer.webp
Minn-Erva,Minn-Erva,minn-erva.webp
Gabe Jones,Gabe Jones,gabe-jones.webp
Moon Knight,Moon Knight,moon-knight.webp
Randy Vale,Randy Vale,randy-vale.webp
Garrett,Garrett,garrett.webp
Renata,Renata,renata.webp
Silver Surfer,Silver Surfer,silver-surfer.webp
Hamir,Hamir,hamir.webp
Cale,Cale,cale.webp
Thena,Thena,thena.webp
Akihiko,Akihiko,akihiko.webp
Skurge,Executioner,skurge.webp
Sol Rama,Sol Rama,sol-rama.webp
Gilgamesh,Gilgamesh,gilgamesh.webp
Roeder,Roeder,roeder.webp
Kirsten McDuffie,Kirsten McDuffie,kirsten-mcduffie.webp
Jim Morita,Jim Morita,jim-morita.webp
Tyr,Tyr,tyr.webp
Taserface,Taserface,taserface.webp
Eir,Eir,eir.webp
Gorr the God Butcher,Gorr the God Butcher,gorr-the-god-butcher.webp
Tyler Corbyn,Tyler Corbyn,tyler-corbyn.webp
Grandmaster,Grandmaster,grandmaster.webp
Heinz Kruger,Heinz Kruger,heinz-kruger.webp
Tullk,Tullk,tullk.webp
Delancey,Delancey,delancey.webp
Kaecilius,Kaecilius,kaecilius.webp
Martina,Martina,martina.webp
Horuz,Horuz,horuz.webp
Hutter,Hutter,hutter.webp
Karen,Karen,karen.webp
Owl,Owl,owl.webp
Zeke Stane,Ezekiel Stane,zeke-stane.webp
Att-Lass,Att-Lass,att-lass.webp
James Wesley,James Wesley,james-wesley.webp
Vasily Karpov,Vasily Karpov,vasily-karpov.webp
Ellen Brandt,Ellen Brandt,ellen-brandt.webp
Lilia Calderu,Lilia Calderu,lilia-calderu.webp
Shawna Lynde,Shawna Lynde,shawna-lynde.webp
Lead Scrapper,Lead Scrapper,lead-scrapper.webp
Jack Taggart,Jack Taggart,jack-taggart.webp
BB Urich,BB Urich,bb-urich.webp
Dum Dum Dugan,Dum Dum Dugan,dum-dum-dugan.webp
Jonathan Pangborn,Jonathan Pangborn,jonathan-pangborn.webp
Phineas Mason,Tinkerer,phineas-mason.webp
Buck Cashman,Buck Cashman,buck-cashman.webp
Martinex,Martinex,martinex.webp
Lance Hunter,Lance Hunter,lance-hunter.webp
STRIKE Team: Delta,STRIKE Team: Delta,strike-team-delta.webp
Red Dagger,Red Dagger,red-dagger.webp
Irina,Irina,irina.webp
Arishem the Judge,Arishem the Judge,arishem-the-judge.webp
Lincoln Campbell,Lincoln Campbell,lincoln-campbell.webp
Echo,Echo,echo.webp
Ricky,Ricky,ricky.webp
Ian Quinn,Ian Quinn,ian-quinn.webp
Rampage,Rampage,rampage.webp
Melissa Bowen,Melissa Bowen,melissa-bowen.webp
Thor: Love and Thunder,Thor: Love and Thunder,thor-love-and-thunder.webp
Marvel Studios: Legends,Legends,marvel-studios-legends.webp
Super Soldier Serum,Super Soldier Serum,super-soldier-serum.webp
Vita Radiation,Vita Radiation,vita-radiation.webp
Wakanda,Wakanda,wakanda.webp
Hridgandr,Hridgandr,hridgandr.webp
The Well,The Well,the-well.webp
Asgardian Skiff,Asgardian Skiff,asgardian-skiff.webp
Destroyer Armor Prototype Gun,Destroyer Armor Prototype Gun,destroyer-armor-prototype-gun.webp
Casket of Ancient Winters,Casket of Ancient Winters,casket-of-ancient-winters.webp
Sakaarans,Sakaarans,sakaarans.webp
Power Broker,Power Broker,power-broker.webp
Willowdale,Willowdale,willowdale.webp
Fimbuldraugr,Fimbuldraugr,fimbuldraugr.webp
Stark Sonic Cannon,Stark Sonic Cannon,stark-sonic-cannon.webp
Quantum Realm,Quantum Realm,quantum-realm.webp
Brandrheid Undrsigr,Brandrheid Undrsigr,brandrheid-undrsigr.webp
Asgard,Asgard,asgard.webp
Agatha All Along,Agatha All Along,agatha-all-along.webp
Werewolf by Night,Werewolf by Night,werewolf-by-night.webp
Tony Stark's Mansion,Tony Stark's Mansion,tony-stark-s-mansion.webp
Celestial,Celestials,celestial.webp
Chitauri Chariot,Chitauri Chariot,chitauri-chariot.webp
Chitauri Gun,Chitauri Gun,chitauri-gun.webp
Hydra,Hydra,hydra.webp
The Fantastic Four: First Steps,The Fantastic Four: First Steps,the-fantastic-four-first-steps.webp
Taser Disk,Taser Disk,taser-disk.webp
Ant-Man and the Wasp: Quantumania,Ant-Man and the Wasp: Quantumania,ant-man-and-the-wasp-quantumania.webp
Asgardian Collar,Asgardian Collar,asgardian-collar.webp
The New York Examiner,The New York Examiner,the-new-york-examiner.webp
Genghis Connie's Too,Genghis Connie's Too,genghis-connie-s-too.webp
Einherjar Shield,Einherjar Shield,einherjar-shield.webp
Space Throne,Space Throne,space-throne.webp
Camp Lehigh,Camp Lehigh,camp-lehigh.webp
Zip-Line Gun,Zip-Line Gun,zip-line-gun.webp
Grand Arena,Grand Arena,grand-arena.webp
Stark Industries Private Jet,Stark Industries Private Jet,stark-industries-private-jet.webp
Project P.E.G.A.S.U.S.,Project P.E.G.A.S.U.S.,project-p-e-g-a-s-u-s.webp
Gulmira,Gulmira,gulmira.webp
Whip & Fiddle,Whip & Fiddle,whip-fiddle.webp
Hide and Seek,Hide and Seek,hide-and-seek.webp
Never Meet Your Heroes,Never Meet Your Heroes,never-meet-your-heroes.webp
Item 47,Chitauri Gun,item-47.webp
Collector's Museum,Collector's Museum,collector-s-museum.webp
Avengers: Doomsday,Avengers: Doomsday,avengers-doomsday.webp
Ronin,Hawkeye,ronin.webp
Hofund,Hofund,hofund.webp
New Asgard,New Asgard,new-asgard.webp
Beginning of the End,Beginning of the End,beginning-of-the-end.webp
Team Thor,Marvel One-Shot: Team Thor: Part 1,team-thor.webp
Dave's Ranch,Dave's Ranch,dave-s-ranch.webp
Ten Rings Base,Ten Rings Base,ten-rings-base.webp
Colantotte Bracelets,Colantotte Bracelets,colantotte-bracelets.webp
City of the Dead,City of the Dead,city-of-the-dead.webp
Mjolnir,Mjølnir,mjolnir.webp
Time Stone,Time Stone,time-stone.webp
Chitauri Energy Core,Chitauri Energy Core,chitauri-energy-core.webp
Asgardian Ravens,Asgardian Ravens,asgardian-ravens.webp
Guardians of the Galaxy Vol. 3,Guardians of the Galaxy Vol. 3,guardians-of-the-galaxy-vol-3.webp
Xeronians,Xeronians,xeronians.webp
Decommissioned CDC Facility,Decommissioned CDC Facility,decommissioned-cdc-facility.webp
Daily Bugle Broadcasting Center,Daily Bugle Broadcasting Center,daily-bugle-broadcasting-center.webp
Golden Sands,Golden Sands,golden-sands.webp
Team Thor: Part 2,Marvel One-Shot: Team Thor: Part 2,team-thor-part-2.webp
Barbershop Headquarters,Barbershop Headquarters,barbershop-headquarters.webp
Hammer Industries,Hammer Industries,hammer-industries.webp
Battle of New York,Battle of New York,battle-of-new-york.webp
Power Stone,Power Stone,power-stone.webp
Strategic Scientific Reserve Brooklyn Facility,Strategic Scientific Reserve Brooklyn Facility,strategic-scientific-reserve-brooklyn-facility.webp
Contraxia,Contraxia,contraxia.webp
Alexander Pierce High School,Alexander Pierce High School,alexander-pierce-high-school.webp
Steve Rogers' Compass,Steve Rogers' Compass,steve-rogers-compass.webp
Colon's Gym,Colon's Gym,colon-s-gym.webp
Chitauri Staff,Chitauri Staff,chitauri-staff.webp
Captain America: Super Soldier,Captain America: Super Soldier,captain-america-super-soldier.webp
Grills' Apartment,Grills' Apartment,grills-apartment.webp
Erik Gelden's Apartment,Erik Gelden's Apartment,erik-gelden-s-apartment.webp
Fat Man Auto Repair,Fat Man Auto Repair,fat-man-auto-repair.webp
Calvin Zabo's Clandestine Clinic,Calvin Zabo's Clandestine Clinic,calvin-zabo-s-clandestine-clinic.webp
Declan Research Facility Lab,Declan Research Facility Lab,declan-research-facility-lab.webp
Two Dead Men,Two Dead Men,two-dead-men.webp
Haven Hills,Haven Hills,haven-hills.webp
Fake Infinity Gauntlet,Fake Infinity Gauntlet,fake-infinity-gauntlet.webp
Court Square Diner,Court Square Diner,court-square-diner.webp
Spider-Man: Brand New Day,Spider-Man: Brand New Day,spider-man-brand-new-day.webp
Whose Show is This?,Whose Show is This?,whose-show-is-this.webp
Bradley Residence,Bradley Residence,bradley-residence.webp
A Normal Amount of Rage,A Normal Amount of Rage,a-normal-amount-of-rage.webp
Gangalor,Gangalor,gangalor.webp
The Ghost,The Ghost,the-ghost.webp
A.B.C. Chinese Restaurant,A.B.C. Chinese Restaurant,a-b-c-chinese-restaurant.webp
Edgecombe Funeral House,Edgecombe Funeral House,edgecombe-funeral-house.webp
Lucky Star Cab Company,Lucky Star Cab Company,lucky-star-cab-company.webp
Grandmaster Palace,Grandmaster Palace,grandmaster-palace.webp
GRC New York Headquarters,GRC New York Headquarters,grc-new-york-headquarters.webp
